site_id|config_id|run_id|stat_id|stat_name|stat_ges_lock_req|stat_ges_pin_req|stat_ges_pin_rel|stat_ges_inval_req|stat_ges_invalid|start_time
37|1|28|266291|ACCOUNT_STATUS|21785|0|0|0|0|12-NOV-14 08.00.00.000000 AM
37|1|28|266293|QUEUE|1172|17047|17047|0|0|12-NOV-14 08.00.00.000000 AM
37|1|28|267335|BODY|0|21460730|21460730|0|0|12-NOV-14 08.00.00.000000 AM
37|1|28|267919|LOCATION|11280|11329|11329|0|0|12-NOV-14 08.00.00.000000 AM
37|1|28|266292|INDEX|33229|33231|33231|0|0|12-NOV-14 08.00.00.000000 AM
37|1|28|266295|TABLE/PROCEDURE|190667|266018|266018|0|0|12-NOV-14 08.00.00.000000 AM
37|1|28|267920|SUBSCRIPTION|76|204|204|0|0|12-NOV-14 08.00.00.000000 AM
37|1|28|266294|SUMMARY|26430|26430|26430|0|0|12-NOV-14 08.00.00.000000 AM
37|1|29|266291|ACCOUNT_STATUS|21167|0|0|0|0|13-NOV-14 08.00.00.000000 AM
37|1|29|266294|SUMMARY|24432|24432|24432|0|0|13-NOV-14 08.00.00.000000 AM
37|1|29|267335|BODY|0|20895106|20895106|0|0|13-NOV-14 08.00.00.000000 AM
37|1|29|269373|TRIGGER|0|591|591|0|0|13-NOV-14 08.00.00.000000 AM
37|1|29|266293|QUEUE|917|16481|16481|0|0|13-NOV-14 08.00.00.000000 AM
37|1|29|266295|TABLE/PROCEDURE|182301|250582|250582|0|0|13-NOV-14 08.00.00.000000 AM
37|1|29|266292|INDEX|25291|25293|25293|0|0|13-NOV-14 08.00.00.000000 AM
37|1|29|267310|CLUSTER|2|2|2|0|0|13-NOV-14 08.00.00.000000 AM
37|1|30|269373|TRIGGER|0|408|408|0|0|14-NOV-14 08.00.00.000000 AM
37|1|30|266291|ACCOUNT_STATUS|21527|0|0|0|0|14-NOV-14 08.00.00.000000 AM
37|1|30|266295|TABLE/PROCEDURE|175908|229879|229879|0|0|14-NOV-14 08.00.00.000000 AM
37|1|30|267335|BODY|0|20752492|20752492|0|0|14-NOV-14 08.00.00.000000 AM
37|1|30|267310|CLUSTER|5|5|5|0|0|14-NOV-14 08.00.00.000000 AM
37|1|30|266293|QUEUE|917|16460|16460|0|0|14-NOV-14 08.00.00.000000 AM
37|1|30|266292|INDEX|22745|22745|22745|0|0|14-NOV-14 08.00.00.000000 AM
37|1|30|266294|SUMMARY|19235|19235|19235|0|0|14-NOV-14 08.00.00.000000 AM
37|1|31|269057|HINTSET OBJECT|10|10|10|0|0|17-NOV-14 08.00.00.000000 AM
37|1|31|266293|QUEUE|1022|16787|16787|0|0|17-NOV-14 08.00.00.000000 AM
37|1|31|267335|BODY|0|21595998|21595998|0|0|17-NOV-14 08.00.00.000000 AM
37|1|31|267310|CLUSTER|2|2|2|0|0|17-NOV-14 08.00.00.000000 AM
37|1|31|266295|TABLE/PROCEDURE|172632|236110|236110|0|0|17-NOV-14 08.00.00.000000 AM
37|1|31|267920|SUBSCRIPTION|0|68|68|0|0|17-NOV-14 08.00.00.000000 AM
37|1|31|266291|ACCOUNT_STATUS|22146|0|0|0|0|17-NOV-14 08.00.00.000000 AM
37|1|31|266292|INDEX|23021|23021|23021|0|0|17-NOV-14 08.00.00.000000 AM
37|1|31|267919|LOCATION|1|4|4|0|0|17-NOV-14 08.00.00.000000 AM
37|1|31|269373|TRIGGER|0|384|384|0|0|17-NOV-14 08.00.00.000000 AM
37|1|31|266294|SUMMARY|22765|22765|22765|0|0|17-NOV-14 08.00.00.000000 AM
37|1|35|266293|QUEUE|918|16477|16477|0|0|21-NOV-14 08.00.00.000000 AM
37|1|35|266295|TABLE/PROCEDURE|211700|301936|301936|0|0|21-NOV-14 08.00.00.000000 AM
37|1|35|266294|SUMMARY|29257|29257|29257|0|0|21-NOV-14 08.00.00.000000 AM
37|1|35|269373|TRIGGER|0|870|870|0|0|21-NOV-14 08.00.00.000000 AM
37|1|35|266292|INDEX|42576|42575|42575|0|0|21-NOV-14 08.00.00.000000 AM
37|1|35|269057|HINTSET OBJECT|9|9|9|0|0|21-NOV-14 08.00.00.000000 AM
37|1|35|267335|BODY|0|20816212|20816212|0|0|21-NOV-14 08.00.00.000000 AM
37|1|35|266291|ACCOUNT_STATUS|22321|0|0|0|0|21-NOV-14 08.00.00.000000 AM
37|1|36|266291|ACCOUNT_STATUS|22143|0|0|0|0|24-NOV-14 08.00.00.000000 AM
37|1|36|267335|BODY|0|21314453|21314453|0|0|24-NOV-14 08.00.00.000000 AM
37|1|36|266294|SUMMARY|24997|24997|24997|0|0|24-NOV-14 08.00.00.000000 AM
37|1|36|269373|TRIGGER|0|443|443|0|0|24-NOV-14 08.00.00.000000 AM
37|1|36|266292|INDEX|34163|34163|34163|0|0|24-NOV-14 08.00.00.000000 AM
37|1|36|266293|QUEUE|1052|16972|16972|0|0|24-NOV-14 08.00.00.000000 AM
37|1|36|267310|CLUSTER|2|2|2|0|0|24-NOV-14 08.00.00.000000 AM
37|1|36|266295|TABLE/PROCEDURE|192220|265215|265215|0|0|24-NOV-14 08.00.00.000000 AM
