site_id|config_id|run_id|stat_id|stat_name|stat_value|stat_end_value|start_time
37|1|9|266026|USER_TIME|5854502.94||15-OCT-14 08.00.00.000000 AM
37|1|9|266028|RSRC_MGR_CPU_WAIT_TIME|0||15-OCT-14 08.00.00.000000 AM
37|1|9|266032|NUM_CPUS|24||15-OCT-14 08.00.00.000000 AM
37|1|9|266036|GLOBAL_SEND_SIZE_MAX|2097152||15-OCT-14 08.00.00.000000 AM
37|1|9|266022|IDLE_TIME|9319628.38||15-OCT-14 08.00.00.000000 AM
37|1|9|266031|PHYSICAL_MEMORY_BYTES|101178621952||15-OCT-14 08.00.00.000000 AM
37|1|9|266033|NUM_CPU_CORES|12||15-OCT-14 08.00.00.000000 AM
37|1|9|266037|TCP_RECEIVE_SIZE_DEFAULT|87380||15-OCT-14 08.00.00.000000 AM
37|1|9|266042|TCP_SEND_SIZE_MIN|4096||15-OCT-14 08.00.00.000000 AM
37|1|9|266024|NICE_TIME|0||15-OCT-14 08.00.00.000000 AM
37|1|9|266027|LOAD|4.06|3.75|15-OCT-14 08.00.00.000000 AM
37|1|9|266035|GLOBAL_RECEIVE_SIZE_MAX|4194304||15-OCT-14 08.00.00.000000 AM
37|1|9|266038|TCP_RECEIVE_SIZE_MAX|6291456||15-OCT-14 08.00.00.000000 AM
37|1|9|266041|TCP_SEND_SIZE_MAX|4194304||15-OCT-14 08.00.00.000000 AM
37|1|8|266021|BUSY_TIME|7343918.56||14-OCT-14 08.00.00.000000 AM
37|1|8|266024|NICE_TIME|0||14-OCT-14 08.00.00.000000 AM
37|1|8|266025|SYS_TIME|1212841.5||14-OCT-14 08.00.00.000000 AM
37|1|8|266036|GLOBAL_SEND_SIZE_MAX|2097152||14-OCT-14 08.00.00.000000 AM
37|1|8|266038|TCP_RECEIVE_SIZE_MAX|6291456||14-OCT-14 08.00.00.000000 AM
37|1|8|266041|TCP_SEND_SIZE_MAX|4194304||14-OCT-14 08.00.00.000000 AM
37|1|8|266028|RSRC_MGR_CPU_WAIT_TIME|0||14-OCT-14 08.00.00.000000 AM
37|1|8|266029|VM_IN_BYTES|106752||14-OCT-14 08.00.00.000000 AM
37|1|8|266039|TCP_RECEIVE_SIZE_MIN|4096||14-OCT-14 08.00.00.000000 AM
37|1|8|266040|TCP_SEND_SIZE_DEFAULT|16384||14-OCT-14 08.00.00.000000 AM
37|1|8|266042|TCP_SEND_SIZE_MIN|4096||14-OCT-14 08.00.00.000000 AM
37|1|8|266027|LOAD|4.56|3.63|14-OCT-14 08.00.00.000000 AM
37|1|8|266030|VM_OUT_BYTES|0||14-OCT-14 08.00.00.000000 AM
37|1|8|266035|GLOBAL_RECEIVE_SIZE_MAX|4194304||14-OCT-14 08.00.00.000000 AM
37|1|8|266023|IOWAIT_TIME|2197.38||14-OCT-14 08.00.00.000000 AM
37|1|8|266026|USER_TIME|5731876.75||14-OCT-14 08.00.00.000000 AM
37|1|8|266031|PHYSICAL_MEMORY_BYTES|101178621952||14-OCT-14 08.00.00.000000 AM
37|1|8|266022|IDLE_TIME|9420528.63||14-OCT-14 08.00.00.000000 AM
37|1|8|266032|NUM_CPUS|24||14-OCT-14 08.00.00.000000 AM
37|1|8|266033|NUM_CPU_CORES|12||14-OCT-14 08.00.00.000000 AM
37|1|8|266037|TCP_RECEIVE_SIZE_DEFAULT|87380||14-OCT-14 08.00.00.000000 AM
37|1|8|266034|NUM_CPU_SOCKETS|2||14-OCT-14 08.00.00.000000 AM
37|1|10|266031|PHYSICAL_MEMORY_BYTES|101178621952||16-OCT-14 08.00.00.000000 AM
37|1|10|266032|NUM_CPUS|24||16-OCT-14 08.00.00.000000 AM
37|1|10|266037|TCP_RECEIVE_SIZE_DEFAULT|87380||16-OCT-14 08.00.00.000000 AM
37|1|10|266025|SYS_TIME|1226676.56||16-OCT-14 08.00.00.000000 AM
